name,url,salary,id
Ведущий фулстек разработчик / Senior fullstack developer (Python),https://hh.ru/vacancy/75729157,,75729157
Data Scientist,https://hh.ru/vacancy/79028437,,79028437
Lead Data Scientist,https://hh.ru/vacancy/78137233,,78137233
Data Engineer,https://hh.ru/vacancy/78579913,,78579913
Quantitative Researcher (Quantitative algorithmic trading),https://hh.ru/vacancy/78529638,,78529638
Data Science Team Lead,https://hh.ru/vacancy/78607260,,78607260
Python разработчик (Северсталь Диджитал),https://hh.ru/vacancy/77918066,,77918066
Mobile application security specialist/Специалист по анализу защищённости/IOS Реверс инженер,https://hh.ru/vacancy/71934269,,71934269
Product Analyst (GameDev),https://hh.ru/vacancy/78991848,,78991848
Data Engineer,https://hh.ru/vacancy/76945904,,76945904
Application Security инженер (практика SAST),https://hh.ru/vacancy/78956671,,78956671
Инженер DevOps,https://hh.ru/vacancy/78976080,,78976080
Data Engineer (Senior),https://hh.ru/vacancy/78586005,,78586005
Python Middle+/Senior Developer,https://hh.ru/vacancy/78406480,,78406480
Data Engineer (Big Data),https://hh.ru/vacancy/78273747,,78273747
Team Lead Python разработчик (Биометрия),https://hh.ru/vacancy/75525321,,75525321
SDET Python (Next Generation Firewall),https://hh.ru/vacancy/79080806,,79080806
Data scientist (Персонализация),https://hh.ru/vacancy/54829296,,54829296
Инженер Linux (отдел разработки ОС),https://hh.ru/vacancy/79002673,150000,79002673
Python разработчик / DevOps инженер в SberTech,https://hh.ru/vacancy/79064662,,79064662
Ведущий программист Linux С/Python,https://hh.ru/vacancy/79087991,,79087991
Ведущий программист Linux С/Python,https://hh.ru/vacancy/79093712,,79093712
Devops k8s,https://hh.ru/vacancy/76910798,,76910798
Аналитик данных/Middle Data scientist (Computer Vision),https://hh.ru/vacancy/77557350,,77557350
Data DevOps Engineer,https://hh.ru/vacancy/77330018,,77330018
Ведущий разработчик ПО в области облачных технологий,https://hh.ru/vacancy/68317619,250000,68317619
Инженер-программист (middle+/senior) на задачи машинного обучения Machine Learning Engineer,https://hh.ru/vacancy/79020361,150000,79020361
Разработчик распределенных приложений (DevOps),https://hh.ru/vacancy/78935697,,78935697
Python Team Lead / Руководитель backend разработки (в аккредитованную ИТ компанию),https://hh.ru/vacancy/48216332,,48216332
DevOps инженер,https://hh.ru/vacancy/78816765,,78816765
Product Analyst,https://hh.ru/vacancy/77939145,,77939145
Database administrator/DBA PostgreSQL,https://hh.ru/vacancy/78394301,,78394301
Devops Engineer (централизованное PaaS решение для команд разработки),https://hh.ru/vacancy/76164071,,76164071
